cvae_99_length,cvae_99_coverage,cvae_95_length,cvae_95_coverage,cvae_90_length,cvae_90_coverage,cvae_85_length,cvae_85_coverage,cvae_rsquared,fnn_99_length,fnn_99_coverage,fnn_95_length,fnn_95_coverage,fnn_90_length,fnn_90_coverage,fnn_85_length,fnn_85_coverage,fnn_rsquared,rf_99_length,rf_99_coverage,rf_95_length,rf_95_coverage,rf_90_length,rf_90_coverage,rf_85_length,rf_85_coverage,rf_rsquared,gp_99_length,gp_99_coverage,gp_95_length,gp_95_coverage,gp_90_length,gp_90_coverage,gp_85_length,gp_85_coverage,gp_rsquared
0.056597,0.983193,0.042806,0.983193,0.035836,0.94958,0.03132,0.94958,0.967401,0.048651,0.966387,0.036796,0.957983,0.030805,0.907563,0.026923,0.865546,0.972229,0.078057,0.941176,0.059037,0.92437,0.049424,0.915966,0.043196,0.890756,0.81018,0.0293769,0.9243697,0.02235306,0.8403361,0.01875928,0.8151261,0.01641762,0.7647059,0.9727542
0.055547,0.983193,0.042012,0.97479,0.035171,0.92437,0.030739,0.92437,0.969194,0.04982,0.983193,0.03768,0.957983,0.031545,0.89916,0.02757,0.865546,0.975069,0.082045,0.941176,0.062053,0.932773,0.051949,0.915966,0.045402,0.89916,0.809642,0.03004028,0.9243697,0.02285783,0.8403361,0.0191829,0.8067227,0.01678835,0.7647059,0.973111
0.055168,0.983193,0.041725,0.957983,0.034931,0.941176,0.030529,0.92437,0.96733,0.05019,0.97479,0.03796,0.932773,0.031779,0.89916,0.027774,0.857143,0.9719,0.08182,0.941176,0.061882,0.932773,0.051806,0.915966,0.045278,0.907563,0.805528,0.02983863,0.9243697,0.02270439,0.8403361,0.01905413,0.8151261,0.01667566,0.7647059,0.9729954
0.051029,0.983193,0.038595,0.966387,0.03231,0.915966,0.028239,0.907563,0.971148,0.04736,0.983193,0.03582,0.94958,0.029988,0.89916,0.026209,0.87395,0.97404,0.07123,0.941176,0.053874,0.932773,0.045102,0.907563,0.039418,0.890756,0.840973,0.02923053,0.9243697,0.02224169,0.8403361,0.01866581,0.8151261,0.01633581,0.7647059,0.9723364
0.037629,0.966387,0.02846,0.94958,0.023826,0.907563,0.020823,0.87395,0.966693,0.035965,0.97479,0.027201,0.932773,0.022772,0.882353,0.019903,0.823529,0.966056,0.058136,0.941176,0.04397,0.932773,0.03681,0.92437,0.032172,0.915966,0.872741,0.02229855,0.9327731,0.0169671,0.8571429,0.01423924,0.8067227,0.0124618,0.7731092,0.9737352
0.054431,0.983193,0.041168,0.957983,0.034465,0.92437,0.030121,0.915966,0.965536,0.049737,0.97479,0.037618,0.957983,0.031492,0.915966,0.027524,0.882353,0.971926,0.079917,0.941176,0.060444,0.932773,0.050602,0.915966,0.044225,0.89916,0.824346,0.0301295,0.9243697,0.02292572,0.8403361,0.01923987,0.8067227,0.01683822,0.7647059,0.972109
0.05495,0.983193,0.04156,0.966387,0.034793,0.94958,0.030408,0.941176,0.969293,0.051948,0.991597,0.03929,0.94958,0.032893,0.932773,0.028748,0.882353,0.972408,0.07462,0.941176,0.056437,0.932773,0.047248,0.92437,0.041293,0.890756,0.832797,0.02949795,0.9243697,0.02244517,0.8403361,0.01883658,0.8151261,0.01648527,0.7563025,0.9717482
0.047061,0.983193,0.035593,0.94958,0.029798,0.932773,0.026043,0.907563,0.972308,0.043077,0.983193,0.03258,0.94958,0.027276,0.89916,0.023838,0.882353,0.97211,0.068445,0.957983,0.051767,0.92437,0.043338,0.915966,0.037877,0.87395,0.872579,0.02720509,0.9327731,0.02070052,0.8571429,0.01737242,0.8067227,0.01520387,0.7647059,0.9720028
0.048247,0.97479,0.036491,0.97479,0.030549,0.94958,0.026699,0.92437,0.972556,0.044977,0.991597,0.034017,0.957983,0.028478,0.907563,0.02489,0.87395,0.973071,0.06781,0.941176,0.051287,0.915966,0.042936,0.907563,0.037525,0.890756,0.863566,0.02771522,0.9327731,0.02108868,0.8487395,0.01769818,0.8067227,0.01548897,0.7647059,0.9723049
0.051744,0.983193,0.039135,0.966387,0.032763,0.915966,0.028634,0.907563,0.967247,0.045679,0.983193,0.034549,0.957983,0.028923,0.89916,0.025278,0.890756,0.97341,0.071609,0.94958,0.05416,0.915966,0.045341,0.907563,0.039628,0.89916,0.845298,0.02863727,0.9327731,0.02179027,0.8403361,0.01828697,0.8151261,0.01600426,0.7647059,0.9727728
0.050244,0.983193,0.038001,0.94958,0.031813,0.932773,0.027804,0.882353,0.971188,0.046997,0.97479,0.035545,0.941176,0.029757,0.907563,0.026007,0.882353,0.97157,0.0719,0.94958,0.05438,0.915966,0.045526,0.89916,0.039789,0.87395,0.858442,0.0291168,0.9243697,0.02215515,0.8403361,0.01859318,0.7983193,0.01627225,0.7647059,0.9724885
0.047716,0.97479,0.036089,0.932773,0.030212,0.890756,0.026405,0.840336,0.967995,0.04345,0.97479,0.032863,0.94958,0.027512,0.92437,0.024045,0.882353,0.974957,0.070508,0.941176,0.053327,0.915966,0.044644,0.907563,0.039018,0.890756,0.875022,0.02801624,0.9411765,0.02131772,0.8571429,0.0178904,0.7815126,0.01565719,0.7731092,0.9727685
0.049137,0.97479,0.037164,0.957983,0.031113,0.941176,0.027192,0.907563,0.969855,0.044925,0.97479,0.033978,0.941176,0.028446,0.907563,0.024861,0.865546,0.97082,0.073028,0.932773,0.055233,0.92437,0.04624,0.907563,0.040413,0.89916,0.867699,0.02763277,0.9495798,0.02102594,0.8319328,0.01764553,0.7983193,0.01544289,0.7478992,0.9724247
0.051272,0.983193,0.038779,0.957983,0.032465,0.932773,0.028373,0.89916,0.97002,0.049564,0.991597,0.037487,0.966387,0.031383,0.92437,0.027428,0.890756,0.973045,0.07172,0.94958,0.054244,0.932773,0.045412,0.915966,0.039689,0.907563,0.830423,0.02872594,0.9243697,0.02185774,0.8403361,0.0183436,0.8235294,0.01605382,0.7815126,0.9714101
0.051157,0.983193,0.038692,0.966387,0.032392,0.932773,0.02831,0.915966,0.966708,0.050628,0.991597,0.038291,0.966387,0.032056,0.941176,0.028017,0.92437,0.974923,0.069019,0.957983,0.052201,0.932773,0.043701,0.92437,0.038194,0.890756,0.830303,0.02854597,0.9327731,0.0217208,0.8571429,0.01822867,0.8235294,0.01595324,0.7647059,0.9701252
0.048794,0.991597,0.036905,0.983193,0.030896,0.941176,0.027002,0.882353,0.965384,0.044927,0.983193,0.033979,0.941176,0.028447,0.92437,0.024862,0.907563,0.969408,0.063329,0.94958,0.047897,0.932773,0.040098,0.915966,0.035045,0.890756,0.828562,0.02636814,0.9411765,0.02006368,0.8487395,0.01683797,0.8067227,0.01473613,0.7731092,0.9677701
0.042644,1,0.032253,0.966387,0.027001,0.957983,0.023599,0.907563,0.962118,0.043212,0.991597,0.032683,0.957983,0.027361,0.89916,0.023913,0.87395,0.96093,0.051683,0.94958,0.039089,0.92437,0.032724,0.890756,0.028601,0.865546,0.85802,0.02267331,0.9159664,0.01725226,0.8571429,0.01447855,0.8151261,0.01267124,0.7647059,0.9628465
0.055349,0.983193,0.041862,0.983193,0.035046,0.966387,0.03063,0.89916,0.961899,0.052542,0.991597,0.039739,0.966387,0.033269,0.92437,0.029076,0.907563,0.966795,0.063758,0.94958,0.048222,0.932773,0.04037,0.907563,0.035283,0.89916,0.78342,0.02781645,0.9411765,0.0211657,0.8487395,0.01776282,0.8067227,0.01554554,0.7731092,0.9688559
0.047981,0.983193,0.036289,0.957983,0.03038,0.941176,0.026552,0.882353,0.9692,0.046006,0.97479,0.034795,0.94958,0.02913,0.92437,0.025459,0.89916,0.97161,0.065328,0.94958,0.049409,0.92437,0.041364,0.890756,0.036152,0.865546,0.862994,0.02798613,0.9243697,0.02129481,0.8571429,0.01787117,0.8151261,0.01564037,0.7563025,0.9705646
0.0482,0.983193,0.036455,0.957983,0.030519,0.941176,0.026673,0.882353,0.968707,0.04378,0.983193,0.033112,0.94958,0.027721,0.907563,0.024227,0.87395,0.970959,0.065375,0.941176,0.049445,0.92437,0.041394,0.890756,0.036178,0.882353,0.861895,0.02792136,0.9243697,0.02124553,0.8571429,0.01782981,0.8235294,0.01560417,0.7563025,0.970755
0.050684,0.983193,0.038333,0.957983,0.032092,0.941176,0.028048,0.915966,0.968882,0.045422,0.983193,0.034354,0.932773,0.02876,0.89916,0.025136,0.865546,0.971845,0.069888,0.94958,0.052858,0.92437,0.044251,0.89916,0.038675,0.890756,0.856234,0.02864404,0.9243697,0.02179542,0.8571429,0.01829129,0.8235294,0.01600804,0.7563025,0.9707211
0.049883,0.991597,0.037728,0.966387,0.031585,0.915966,0.027605,0.89916,0.970012,0.048052,0.983193,0.036343,0.957983,0.030425,0.932773,0.026591,0.890756,0.973476,0.067882,0.941176,0.051341,0.915966,0.042981,0.882353,0.037565,0.87395,0.851968,0.02850865,0.9243697,0.0216924,0.8487395,0.01820484,0.8235294,0.01593238,0.7563025,0.9703283
0.046738,0.983193,0.035349,0.966387,0.029594,0.941176,0.025864,0.882353,0.970601,0.044068,0.983193,0.03333,0.94958,0.027903,0.907563,0.024387,0.865546,0.971748,0.064704,0.941176,0.048937,0.89916,0.040969,0.890756,0.035806,0.882353,0.855214,0.02742098,0.9243697,0.02086479,0.8571429,0.01751028,0.8235294,0.01532452,0.7563025,0.9700323
0.056688,0.97479,0.042875,0.97479,0.035894,0.94958,0.03137,0.92437,0.972774,0.052535,0.966387,0.039734,0.94958,0.033264,0.890756,0.029072,0.882353,0.971567,0.08306,0.941176,0.062821,0.932773,0.052592,0.915966,0.045964,0.882353,0.83671,0.03194496,0.9495798,0.02430711,0.8403361,0.02039917,0.7983193,0.0178528,0.7731092,0.9723937
0.056085,0.97479,0.042419,0.966387,0.035512,0.94958,0.031037,0.915966,0.971616,0.053414,0.991597,0.040399,0.957983,0.033821,0.932773,0.029559,0.89916,0.976096,0.081167,0.941176,0.061389,0.915966,0.051393,0.907563,0.044917,0.890756,0.84423,0.03157927,0.9495798,0.02402885,0.8319328,0.02016565,0.7983193,0.01764843,0.7647059,0.9725987
0.059009,0.983193,0.04463,0.97479,0.037363,0.94958,0.032655,0.92437,0.972182,0.049019,0.97479,0.037074,0.957983,0.031038,0.882353,0.027126,0.865546,0.973045,0.07802,0.941176,0.059009,0.915966,0.049401,0.907563,0.043175,0.890756,0.842941,0.03136922,0.9327731,0.02386902,0.8403361,0.02003152,0.7983193,0.01753104,0.7731092,0.972752
0.052471,0.983193,0.039685,0.94958,0.033224,0.932773,0.029037,0.907563,0.969295,0.048687,0.983193,0.036823,0.957983,0.030828,0.89916,0.026943,0.882353,0.972473,0.072064,0.94958,0.054504,0.915966,0.045629,0.89916,0.039879,0.87395,0.859468,0.03021603,0.9243697,0.02299156,0.8571429,0.01929513,0.8151261,0.01688657,0.7478992,0.9708092